项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于其他印刷服务的框架协议合同公告,2025-03-13 14:46:27,上海商务联西印刷有限公司,龙爱军(男),021-56616373,320000.00
关于投影机的框架协议合同公告,2025-03-13 14:39:54,上海逸明恒业数码技术有限公司,冯继芸(女),15800338159,6500.00
关于年报审计的框架协议合同公告,2025-03-13 14:35:39,上海久信会计师事务所有限公司,王艳(女),021-65589888,95000.00
关于会计审计的框架协议合同公告,2025-03-13 14:34:22,上海久信会计师事务所有限公司,王艳(女),18001606633,10000.00
关于台式整机的框架协议合同公告,2025-03-13 14:24:46,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-52861970,5900.00
关于笔记本电脑的框架协议合同公告,2025-03-13 14:23:19,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-52861970,9900.00
关于物业管理服务的框架协议合同公告,2025-03-13 14:18:28,上海师源物业管理服务有限公司,孙红娥(女),13917114571,758062.00
关于会计审计的框架协议合同公告,2025-03-13 14:02:32,上海安信会计师事务所有限公司,吴勇(男),021-67722674,29600.00
关于会计审计的框架协议合同公告,2025-03-13 14:00:54,上海沪港金茂会计师事务所有限公司,郭纯青(女),13816105750,200000.00
2025年产品质量监督抽查（乐器、学生用品（胶黏剂和美术用品）、玩具（木制玩具）、玩具（纸制玩具）、学生用品（涂改制品）、学生用品（笔））的合同公告,2025-03-13 13:57:55,南京市产品质量监督检验院（南京市质量发展与先进技术应用研究院）,周骏贵(男),021-64220000,102000.00
关于台式整机的框架协议合同公告,2025-03-13 13:52:45,上海耀泽电子科技有限公司,柯纲(女),15800338159,29880.00
关于台式整机的框架协议合同公告,2025-03-13 13:46:45,上海交大慧谷信息产业股份有限公司,张晓波(男),021-64078333,94500.00
关于台式整机的框架协议合同公告,2025-03-13 13:40:34,上海翎誊信息技术有限公司,朱美丽(女),13020157198,585000.00
关于会计审计的框架协议合同公告,2025-03-13 13:32:06,上海文汇会计师事务所有限公司,张兵(男),18918880751,15000.00
关于一体机的框架协议合同公告,2025-03-13 13:24:44,上海顶澄科技有限公司,陶琳(女),18621328167,18000.00
关于台式整机的框架协议合同公告,2025-03-13 13:21:56,上海梓岳信息技术有限公司,蔡晓丹(男),18601713086,99450.00
2025年度上海动物园垃圾外运及垃圾堆场管理项目的合同公告,2025-03-13 13:14:47,上海禹证实业有限公司,顾红英(女),13122528861,1508740.00
关于制冷空调设备的框架协议合同公告,2025-03-13 13:08:28,上海贝乐暖通科技有限公司,王家辉(男),15800338159,3450.00
关于部分项目部门绩效评价等服务的框架协议合同公告,2025-03-13 13:05:30,上海玄钥管理咨询有限公司,吴子明(男),13901615038,600000.00
2025年产品质量监督抽查（乐器、学生用品（胶黏剂和美术用品）、玩具（木制玩具）、玩具（纸制玩具）、学生用品（涂改制品）、学生用品（笔））的合同公告,2025-03-13 13:00:44,重庆市计量质量检测研究院,戚宁武(男),021-64220000,148000.00
关于打印/复印纸的框架协议合同公告,2025-03-13 12:58:05,上海政采数码技术有限公司,章思虹(女),18939854005,132.00
关于打印/复印纸的框架协议合同公告,2025-03-13 12:57:09,上海政采数码技术有限公司,章思虹(女),18310038099,660.00
上海市环境监测中心地表水水质自动监测站运维（三）的合同公告,2025-03-13 12:57:09,上海广域信息网络有限公司,王春光(男),021-24011982,2299940.00
关于打印/复印纸的框架协议合同公告,2025-03-13 12:54:28,上海政采数码技术有限公司,章思虹(女),13636371087,2880.00
关于轿车的框架协议合同公告,2025-03-13 12:30:20,上海逸先汽车销售服务有限公司,颜光明(男),021-51057225,980000.00
对“上海清华国际创新中心集成电路研究平台”项目验收财务审计合同公告,2025-03-13 12:27:02,上海行远会计师事务所（普通合伙）,何晓元(男),13370273903,36200.00
关于其他印刷服务的框架协议合同公告,2025-03-13 12:21:10,上海子龙印务有限公司,赵勇(男),021-68117611,98612.00
2025年上海鲁迅纪念馆（含上海鲁迅故居、鲁迅墓）物业管理服务的合同公告,2025-03-13 12:03:09,上海浦江物业有限公司,傅其昌(男),021-65402288,1588818.00
护理员管理服务费的合同公告,2025-03-13 11:33:35,上海国际汽车城人力资源有限公司,俞国华(男),13818376101,16125000.00
关于台式整机的框架协议合同公告,2025-03-13 11:31:09,上海良奥信息技术有限公司,李加祥(男),021-62109939,60000.00
2025年产品质量监督抽查（成品油和车用尿素快速检测、汽油清净剂和发动机机油、建筑用玻璃、建筑材料、过滤式消防自救呼吸器、消防应急灯具和火灾报警产品）的合同公告,2025-03-13 11:22:15,浙江方圆检测集团股份有限公司,蒋扬名(男),021-64220000,59500.00
关于其他印刷服务的框架协议合同公告,2025-03-13 11:16:35,上海蓝鸟快印有限公司,刘艳(女),021-22880000,51599.00
关于其他印刷服务的框架协议合同公告,2025-03-13 11:16:02,上海蓝鸟快印有限公司,刘艳(女),021-22880000,99409.00
关于打印/复印纸的框架协议合同公告,2025-03-13 11:15:23,上海予发办公设备有限公司,许大江(男),15800338159,260.10
关于服务器/Server的框架协议合同公告,2025-03-13 11:12:16,上海梓岳信息技术有限公司,蔡晓丹(男),18601713086,125960.00
关于物业管理服务的框架协议合同公告,2025-03-13 11:06:50,上海竹汕绿化工程有限公司,金伟明(男),13816838683,199999.92
综合养护费的合同公告,2025-03-13 10:56:37,上海聚隆绿化发展有限公司,单耀晓(男),021-52235755,1392000.00
关于多用途乘用车（MPV）的框架协议合同公告,2025-03-13 10:50:54,上海名流汽车销售有限公司,陈越(男),无,379900.00
2025年产品质量监督抽查（乐器、学生用品（胶黏剂和美术用品）、玩具（木制玩具）、玩具（纸制玩具）、学生用品（涂改制品）、学生用品（笔））的合同公告,2025-03-13 10:50:21,上海纺织集团检测标准有限公司,李健(男),021-64220000,144000.00
关于轿车的框架协议合同公告,2025-03-13 10:49:12,上海名流汽车销售有限公司,陈越(男),无,371588.00
关于轿车的框架协议合同公告,2025-03-13 10:45:12,上海名流汽车销售有限公司,陈越(男),无,476376.00
2025年产品质量监督抽查（乐器、学生用品（胶黏剂和美术用品）、玩具（木制玩具）、玩具（纸制玩具）、学生用品（涂改制品）、学生用品（笔））的合同公告,2025-03-13 10:44:58,上海建科检验有限公司,王冰(男),021-64220000,390000.00
关于轿车的框架协议合同公告,2025-03-13 10:40:05,上海名流汽车销售有限公司,陈越(男),无,238188.00
关于台式整机的框架协议合同公告,2025-03-13 10:37:20,上海尚郝信息科技有限公司,白秀可(男),18310038099,5860.00
关于轿车的框架协议合同公告,2025-03-13 10:37:12,上海名流汽车销售有限公司,陈越(男),无,238188.00
关于碎纸机的框架协议合同公告,2025-03-13 10:32:31,上海政采数码技术有限公司,章思虹(女),021-63843088,5640.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-13 10:30:23,上海政采数码技术有限公司,章思虹(女),18939854005,12000.00
关于笔记本电脑的框架协议合同公告,2025-03-13 10:30:03,上海尚郝信息科技有限公司,白秀可(男),15800338159,10000.00
2025年产品质量监督抽查（塑料污染治理产品、生物可降解农用地膜、可挥发性材料、洗衣产品）的合同公告,2025-03-13 10:25:08,上海市质量监督检验技术研究院,王虎(男),021-64220000,690000.00
监狱购买社会医疗服务经费的合同公告,2025-03-13 10:22:45,上海知音医院有限公司,林雪媛(女),13052380999,2988000.00
2025年产品质量监督抽查（成品油和车用尿素快速检测、汽油清净剂和发动机机油、建筑用玻璃、建筑材料、过滤式消防自救呼吸器、消防应急灯具和火灾报警产品）的合同公告,2025-03-13 10:22:27,上海市质量监督检验技术研究院,王虎(男),021-64220000,848000.00
关于轿车的框架协议合同公告,2025-03-13 10:17:52,上海名流汽车销售有限公司,陈越(男),无,999500.00
关于资产评估服务的框架协议合同公告,2025-03-13 10:16:37,上海城乡资产评估有限责任公司,励允文(男),15618050585,7000.00
上海与全国主要区域合作联动发展可视化子系统建设项目（2025年升级改造）公告,2025-03-13 10:02:10,上海慧康信息技术有限公司,邵海鸣(男),021-63898947,1050000.00
关于打印/复印纸的框架协议合同公告,2025-03-13 09:48:36,史泰博（上海）有限公司,张潮涌(男),18918302375,50000.00
耕地建设与利用资金等2024年度中央转移支付资金绩效评价公告,2025-03-13 09:46:25,上海宏同会计师事务所（普通合伙）,李树智(男),13916922373,70000.00
关于笔记本电脑的框架协议合同公告,2025-03-13 09:37:05,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-62967652,9650.00
关于会计审计的框架协议合同公告,2025-03-13 09:34:01,上海兆信会计师事务所有限公司,孙正平(女),021-65381955,30000.00
关于会计审计的框架协议合同公告,2025-03-13 09:31:00,上海沪中会计师事务所有限公司,黎地(男),021-23113529,90000.00
关于打印/复印纸的框架协议合同公告,2025-03-13 09:28:25,晨省纸业（上海）有限公司,郭彦国(男),13386122309,3388.00
政府采购框架协议采购货物合同—周转品仓库台式电脑一体机4台公告,2025-03-13 09:27:12,上海至正科技有限公司,胡家明(男),13310059546,23200.00
关于民乐系彩色激光多功能一体机的框架协议合同公告,2025-03-13 09:26:55,上海志诚泰和信息技术有限公司,朱雨(男),13917706236,4750.00
关于打印/复印纸的框架协议合同公告,2025-03-13 09:26:02,上海政采数码技术有限公司,章思虹(女),18939854005,231.00
关于打印/复印纸的框架协议合同公告,2025-03-13 09:20:45,上海政采数码技术有限公司,章思虹(女),18939854005,7920.00
龙华医院徐汇院区病理科、制剂楼空调购置项目公告,2025-03-13 08:58:11,上海菱格空调技术工程有限公司,朱宝华(男),18621800831,38240.00
关于制冷空调设备的框架协议合同公告,2025-03-13 08:48:53,上海宏教科技发展有限公司,华静霓(女),021-55511658,55360.00
庭室业务辅助项目经费的合同公告,2025-03-12 19:53:22,上海菩众档案信息技术有限公司,贺征涛(男),021-58951988,5333020.00
关于A4黑白打印机采购的框架协议合同公告,2025-03-12 18:55:46,上海政信电子科技有限公司,李世锋(男),021-63843088,14550.00
体育大厦保洁服务费公告,2025-03-12 17:35:13,上海上物房屋经租管理有限公司,王磊(男),021-63275330,1199376.00
关于扫描仪的框架协议合同公告,2025-03-12 16:52:21,上海维优电子工程有限公司,徐芸(女),021-52861970,1960.00
关于笔记本电脑的框架协议合同公告,2025-03-12 16:42:58,上海政采数码技术有限公司,章思虹(女),18939854005,59400.00
关于笔记本电脑的框架协议合同公告,2025-03-12 16:41:29,上海政采数码技术有限公司,章思虹(女),18939854005,11880.00
关于台式整机的框架协议合同公告,2025-03-12 16:40:34,上海政采数码技术有限公司,章思虹(女),18939854005,11800.00
关于打印/复印纸的框架协议合同公告,2025-03-12 16:38:07,上海政采数码技术有限公司,章思虹(女),021-52260075,1584.00
关于台式整机的框架协议合同公告,2025-03-12 16:26:27,上海仪电鑫森科技发展有限公司,夏军(男),17301789236,157950.00
食堂采购的合同公告,2025-03-12 16:23:59,上海顺星食品有限公司,王云星(男),13917505996,3000000.00
关于复印机的框架协议合同公告,2025-03-12 16:20:48,上海圣裕办公设备有限公司,谭天应(男),021-67722674,48000.00
上海市环境监测中心地表水水质自动监测站运维（三）的合同公告,2025-03-12 16:09:50,上海雷磁环保工程有限公司,汤志东(男),021-24011982,4080000.00
上海市环境监测中心地表水水质自动监测站运维（四）的合同公告,2025-03-12 16:07:31,上海雷磁环保工程有限公司,汤志东(男),021-24011982,2560000.00
上海市环境监测中心地表水水质自动监测站运维（二）的合同公告,2025-03-12 15:49:11,杭州鼎林环保科技有限公司,胡高明(男),021-24011982,2827660.00
关于台式整机的框架协议合同公告,2025-03-12 15:48:55,上海遂乐电子科技有限公司,刘昊炜(男),021-64701576,136850.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-12 15:47:58,上海至正科技有限公司,胡家明(男),18018689365,2000.00
